,title,brand,model,price,discount,discount_%,sex,colour,cushioning,stability,best_use_surface,midsole,outsole,upper,link_shoes
462,HOKA Zinal,HOKA,Zinal,160.0,127.95,79.97,Men's Shoes , Evening Primrose/Blue,Medium,Neutral,"All Around,Fast Runs,Rocky and Technical Trails",PROFLYgives a cushioned landing and a propulsive toe-off.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to provide a smooth ride.,"Vibram Megagrip 4mm lugged outsole has amazing grip, provides additional durability.",Engineered Meshoffers structure and an improved midfoot lockdown.Gussested Tonguehelps keep debris out.  ,https://www.runningwarehouse.com/HOKA_Zinal/descpage-HZN1M2.html
463,HOKA Zinal,HOKA,Zinal,160.0,127.95,79.97,Men's Shoes , Atlantis/Outer Space,Medium,Neutral,"All Around,Fast Runs,Rocky and Technical Trails",PROFLYgives a cushioned landing and a propulsive toe-off.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to provide a smooth ride.,"Vibram Megagrip 4mm lugged outsole has amazing grip, provides additional durability.",Engineered Meshoffers structure and an improved midfoot lockdown.Gussested Tonguehelps keep debris out.  ,https://www.runningwarehouse.com/HOKA_Zinal/descpage-HZIN1M.html
464,HOKA Mafate Speed 4,HOKA,Mafate Speed 4,184.95,0.0,0.0,Men's Shoes , Impala/Flame,Maximal,Neutral,"All Around,Hiking,Rocky and Technical Trails,Snowy and Icy Trails",PROFLY+gives a cushioned landing and an explosive toe-off.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to deliver a smooth ride and increased propulsion.,Vibram Megagrip Compoundprovides excellent grip on wet or dry surfaces with a lugged outsole offering added durability and stability.Traction Lugsincrease ground contact and improve ground feel.,Single Layer Woven Jacquard Meshsupports the foot while allowing for ample airflowDynamic Textile Vampprovides additional accommodation for the forefoot.Rubber toe capfor support and protection  ,https://www.runningwarehouse.com/HOKA_Mafate_Speed_4/descpage-HMS4MS4.html
465,HOKA Mafate Speed 4,HOKA,Mafate Speed 4,184.95,0.0,0.0,Men's Shoes , Deep Lake/Ceramic,Maximal,Neutral,"All Around,Hiking,Rocky and Technical Trails,Snowy and Icy Trails",PROFLY+gives a cushioned landing and an explosive toe-off.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to deliver a smooth ride and increased propulsion.,Vibram Megagrip Compoundprovides excellent grip on wet or dry surfaces with a lugged outsole offering added durability and stability.Traction Lugsincrease ground contact and improve ground feel.,Single Layer Woven Jacquard Meshsupports the foot while allowing for ample airflowDynamic Textile Vampprovides additional accommodation for the forefoot.Rubber toe capfor support and protection  ,https://www.runningwarehouse.com/HOKA_Mafate_Speed_4/descpage-HMS4MS3.html
466,HOKA Mafate Speed 4,HOKA,Mafate Speed 4,184.95,0.0,0.0,Men's Shoes , Thyme/Fiesta,Maximal,Neutral,"All Around,Cushioned Comfort,Racing,Hiking,Rocky and Technical Trails",no information,no information,no information,https://www.runningwarehouse.com/HOKA_Mafate_Speed_4/descpage-HMS4MS1.html
467,HOKA Ora Recovery Flip,HOKA,Ora Recovery Flip,59.95,0.0,0.0,men, Fiesta/Ambr Yellow,,,,Top Layer Oversized EVA provides plush step-in comfort.Early Stage Meta-Rocker Geometry is a rockered midsole design engineered to encourage an efficient gait.,Rubber outsolewith strategic groove placement provides traction and additional underfoot cushioning.,"Flip construction wraps around the big toe for open, lightweight comfort.  ",https://www.runningwarehouse.com/HOKA_Ora_Recovery_Flip/descpage-HORF1MC.html
468,HOKA Ora Recovery Flip,HOKA,Ora Recovery Flip,59.95,0.0,0.0,men, Scuba Blue/Blue,,,,Top Layer Oversized EVA provides plush step-in comfort.Early Stage Meta-Rocker Geometry is a rockered midsole design engineered to encourage an efficient gait.,Rubber outsolewith strategic groove placement provides traction and additional underfoot cushioning.,"Flip construction wraps around the big toe for open, lightweight comfort.  ",https://www.runningwarehouse.com/HOKA_Ora_Recovery_Flip/descpage-HORF1MD.html
469,HOKA Ora Recovery Flip,HOKA,Ora Recovery Flip,59.95,0.0,0.0,men, Blue Graphite,,,,Top Layer Oversized EVA provides plush step-in comfort.Early Stage Meta-Rocker Geometry is a rockered midsole design engineered to encourage an efficient gait.,Rubber outsolewith strategic groove placement provides traction and additional underfoot cushioning.,"Flip construction wraps around the big toe for open, lightweight comfort.  ",https://www.runningwarehouse.com/HOKA_Ora_Recovery_Flip/descpage-HORF1MB.html
470,HOKA Ora Recovery Flip,HOKA,Ora Recovery Flip,59.95,0.0,0.0,men, Black/Gray,,,,Top Layer Oversized EVA provides plush step-in comfort.Early Stage Meta-Rocker Geometry is a rockered midsole design engineered to encourage an efficient gait.,Rubber outsolewith strategic groove placement provides traction and additional underfoot cushioning.,"Flip construction wraps around the big toe for open, lightweight comfort.  ",https://www.runningwarehouse.com/HOKA_Ora_Recovery_Flip/descpage-HORF1M3.html
471,HOKA Ora Recovery Slide 3,HOKA,Ora Recovery Slide 3,59.95,0.0,0.0,unisex, White/White,,,,IM Sugarcane EVA foam for Maximum comfort and an eco-friendly impact.Early Stage Meta-Rocker Geometrydesigned to encourage an efficient gait.,IMEVA Foam for enhanced cloud-like cushioning in every step.Injection Molded Rubber Outsole with strategic groove placement provides traction.,Sandal Construction wrapping across the top of the midfoot for a secure fit.Air Flow Channels for superior breathability.  ,https://www.runningwarehouse.com/HOKA_Ora_Recovery_Slide_3/descpage-HOS3U13.html
472,HOKA Ora Recovery Slide 3,HOKA,Ora Recovery Slide 3,59.95,0.0,0.0,unisex, Mist Green/Trellis,,,,IM Sugarcane EVA foam for Maximum comfort and an eco-friendly impact.Early Stage Meta-Rocker Geometrydesigned to encourage an efficient gait.,IMEVA Foam for enhanced cloud-like cushioning in every step.Injection Molded Rubber Outsole with strategic groove placement provides traction.,Sandal Construction wrapping across the top of the midfoot for a secure fit.Air Flow Channels for superior breathability.  ,https://www.runningwarehouse.com/HOKA_Ora_Recovery_Slide_3/descpage-HOS3U09.html
473,HOKA Ora Recovery Slide 3,HOKA,Ora Recovery Slide 3,59.95,0.0,0.0,unisex, Grey/Grey,,,,IM Sugarcane EVA foam for Maximum comfort and an eco-friendly impact.Early Stage Meta-Rocker Geometrydesigned to encourage an efficient gait.,IMEVA Foam for enhanced cloud-like cushioning in every step.Injection Molded Rubber Outsole with strategic groove placement provides traction.,Sandal Construction wrapping across the top of the midfoot for a secure fit.Air Flow Channels for superior breathability.  ,https://www.runningwarehouse.com/HOKA_Ora_Recovery_Slide_3/descpage-HOS3U07.html
474,HOKA Ora Recovery Slide 3,HOKA,Ora Recovery Slide 3,59.95,0.0,0.0,unisex, Black/Black,,,,IM Sugarcane EVA foam for Maximum comfort and an eco-friendly impact.Early Stage Meta-Rocker Geometrydesigned to encourage an efficient gait.,IMEVA Foam for enhanced cloud-like cushioning in every step.Injection Molded Rubber Outsole with strategic groove placement provides traction.,Sandal Construction wrapping across the top of the midfoot for a secure fit.Air Flow Channels for superior breathability.  ,https://www.runningwarehouse.com/HOKA_Ora_Recovery_Slide_3/descpage-HOS3U02.html
